ApplicationDate,Age,AnnualIncome,CreditScore,RiskScore,LoanApproved
2018-09-14,55,300000,509,42.400000000000006,1
2018-09-17,49,79592,583,51.2,1
2018-09-20,18,160729,555,42.400000000000006,1
2018-09-24,59,117989,610,48.8,1
2018-09-26,34,197755,589,41.6,1
2018-10-03,45,90083,581,43.2,1
2018-10-09,47,72434,613,37.6,1
2018-10-10,59,160132,634,36.0,1
2018-10-14,38,107659,607,36.0,1
2018-10-15,47,179664,589,42.400000000000006,1
2018-10-16,43,81136,575,42.400000000000006,1
2018-10-17,32,86245,445,39.2,1
2018-10-18,37,98074,620,44.0,1
2018-10-20,32,39808,619,39.2,1
2018-10-22,44,101388,642,40.8,1
2018-10-23,31,80085,530,40.8,1
2018-10-27,47,49936,492,38.400000000000006,1
2018-10-31,47,175236,482,41.6,1
2018-11-01,39,101044,615,39.2,1
2018-11-04,32,140216,617,40.0,1
2018-11-10,49,76040,600,44.0,1
2018-11-11,55,89794,582,38.400000000000006,1
2018-11-16,38,141114,544,40.0,1
2018-11-25,47,190649,599,42.400000000000006,1
2018-12-06,33,139115,548,38.400000000000006,1
2018-12-10,33,82323,526,35.2,1
2018-12-16,37,86286,589,33.6,1
2018-12-18,57,192941,663,44.0,1
2018-12-21,39,74123,465,42.400000000000006,1
2018-12-28,58,46693,650,39.2,1
2018-12-29,38,34274,577,45.6,1
2019-01-03,40,162439,606,44.0,1
2019-01-06,40,78355,640,33.6,1
2019-01-09,51,87835,632,40.8,1
2019-01-10,65,94430,591,42.400000000000006,1
2019-01-19,33,74922,576,40.0,1
2019-01-21,41,62019,599,33.6,1
2019-01-23,62,98825,663,38.400000000000006,1
2019-01-27,45,93411,551,46.400000000000006,1
2019-01-30,54,184838,569,40.8,1
2019-02-06,32,83854,597,40.8,1
2019-02-11,27,86106,566,41.6,1
2019-02-23,54,87263,575,35.2,1
2019-03-02,56,92706,627,38.400000000000006,1
2019-03-04,48,116551,558,44.8,1
2019-03-17,44,55812,612,36.8,1
2019-03-21,24,102472,438,39.2,1
2019-03-22,48,74805,654,38.400000000000006,1
2019-04-01,30,86748,513,38.400000000000006,1
2019-04-02,38,52825,572,39.2,1
2019-04-03,27,61983,635,42.400000000000006,1
2019-04-06,63,170399,664,36.8,1
2019-04-07,40,97910,649,37.6,1
2019-04-14,33,64403,639,36.8,1
2019-04-18,21,147047,580,48.0,1
2019-04-19,56,136707,644,37.6,1
2019-04-22,46,55997,527,42.400000000000006,1
2019-04-23,43,52731,599,41.6,1
2019-04-24,76,91120,686,30.4,1
2019-05-05,50,181497,569,40.0,1
2019-05-06,39,56490,609,37.6,1
2019-05-07,57,83062,588,40.8,1
2019-05-08,40,68350,629,40.0,1
2019-05-12,27,62186,563,44.8,1
2019-05-14,29,82968,613,35.2,1
2019-05-16,51,184200,606,36.0,1
2019-05-20,32,73090,532,47.2,1
2019-05-26,43,84512,535,40.8,1
2019-06-04,49,51792,444,40.8,1
2019-06-06,46,127245,586,38.400000000000006,1
2019-06-07,32,84197,590,38.400000000000006,1
2019-06-11,20,183937,527,41.6,1
2019-06-12,40,42120,547,40.0,1
2019-06-21,29,62164,567,41.6,1
2019-06-22,35,101205,506,35.2,1
2019-07-03,44,100980,643,36.8,1
2019-07-07,54,274161,595,44.0,1
2019-07-12,34,115637,588,40.8,1
2019-07-16,64,86330,636,37.6,1
2019-07-18,36,65087,583,44.0,1
2019-07-19,54,171153,548,40.8,1
2019-07-20,35,125795,540,42.400000000000006,1
2019-07-23,18,227026,570,48.0,1
2019-07-26,60,178505,624,36.8,1
2019-07-27,43,58472,568,42.400000000000006,1
2019-08-01,49,90478,609,44.0,1
2019-08-03,53,82334,571,44.0,1
2019-08-13,29,107380,600,35.2,1
2019-08-14,40,170970,590,36.8,1
2019-08-15,34,62296,625,39.2,1
2019-08-16,45,110989,593,44.8,1
2019-08-19,33,73477,576,44.0,1
2019-08-22,34,93598,540,48.8,1
2019-09-03,47,134094,648,35.2,1
2019-09-09,41,41344,517,46.400000000000006,1
2019-09-17,59,113834,566,47.2,1
2019-09-19,28,143624,578,37.6,1
2019-09-20,38,154460,632,39.2,1
2019-09-30,40,88296,512,43.2,1
2019-10-07,37,80125,642,36.8,1
2019-10-12,48,167579,623,37.6,1
2019-10-18,40,98180,564,37.6,1
2019-10-23,33,139885,573,39.2,1
2019-10-29,36,128392,649,39.2,1
2019-10-30,58,109042,608,43.2,1
2019-11-11,55,95184,567,46.400000000000006,1
2019-11-23,53,125742,678,41.6,1
2019-11-26,47,82837,528,40.8,1
2019-11-28,43,127305,607,40.8,1
2019-12-03,52,203812,692,28.8,1
2019-12-12,42,74368,569,44.8,1
2019-12-14,33,157892,590,43.2,1
2019-12-25,48,113100,625,32.800000000000004,1
2020-01-01,42,55274,505,39.2,1
2020-01-05,52,94316,598,40.0,1
2020-01-06,45,113131,611,38.400000000000006,1
2020-01-07,43,117783,507,43.2,1
2020-01-19,32,76308,624,33.6,1
2020-01-20,23,56727,592,43.2,1
2020-02-04,53,194756,483,38.400000000000006,1
2020-02-13,51,64980,581,47.2,1
2020-02-20,42,105722,541,39.2,1
2020-02-23,47,75848,645,40.0,1
2020-02-25,52,113542,640,37.6,1
2020-02-28,39,56601,484,50.400000000000006,1
2020-03-06,52,127045,648,35.2,1
2020-03-09,40,144902,602,40.8,1
2020-03-16,36,94880,580,43.2,1
2020-03-18,34,80283,584,45.6,1
2020-03-22,34,72895,558,40.8,1
2020-03-23,57,47225,669,40.8,1
2020-03-27,43,75750,452,43.2,1
2020-03-29,40,195121,625,36.8,1
2020-04-04,34,99028,581,42.400000000000006,1
2020-04-09,36,54036,570,36.0,1
2020-04-13,30,98665,494,46.400000000000006,1
2020-04-19,37,71118,503,45.6,1
2020-04-20,39,85629,590,41.6,1
2020-04-21,48,183728,649,34.4,1
2020-04-22,26,130311,611,43.2,1
2020-04-24,41,41928,591,47.2,1
2020-04-25,45,19405,602,35.2,1
2020-05-01,33,117493,530,39.2,1
2020-05-02,32,83886,559,39.2,1
2020-05-07,45,38652,634,45.6,1
2020-05-08,33,127098,635,39.2,1
2020-05-09,47,105600,634,43.2,1
2020-05-12,58,72074,622,39.2,1
2020-05-13,61,122511,588,39.2,1
2020-05-17,44,134899,586,53.6,1
2020-05-19,64,53411,631,35.2,1
2020-05-25,61,84899,646,36.0,1
2020-05-26,33,35184,532,43.2,1
2020-05-28,39,116234,441,43.2,1
2020-05-30,70,120596,616,40.0,1
2020-06-02,52,94381,602,38.400000000000006,1
2020-06-13,56,104364,630,39.2,1
2020-06-22,55,262144,575,39.2,1
2020-07-02,58,75611,624,36.8,1
2020-07-04,43,53319,610,40.8,1
2020-07-05,47,66851,621,33.6,1
2020-07-22,18,143933,582,46.400000000000006,1
2020-07-23,45,197517,591,38.400000000000006,1
2020-07-25,27,59383,561,38.400000000000006,1
2020-07-26,48,76133,520,38.400000000000006,1
2020-07-28,33,91948,644,36.8,1
2020-08-01,38,74407,598,36.0,1
2020-08-11,57,79895,604,35.2,1
2020-08-12,39,233389,613,36.0,1
2020-08-19,55,148125,611,37.6,1
2020-08-23,57,90966,599,36.8,1
2020-08-25,61,129517,533,35.2,1
2020-08-28,41,91313,572,39.2,1
2020-08-30,50,67922,619,35.2,1
2020-09-11,39,33720,569,42.400000000000006,1
2020-09-23,61,91274,594,40.8,1
2020-09-25,33,108314,642,48.8,1
2020-09-27,56,166387,673,38.400000000000006,1
2020-10-01,48,93993,481,45.6,1
2020-10-09,64,153162,508,40.0,1
2020-10-14,34,49090,611,40.8,1
2020-10-15,36,40777,533,42.400000000000006,1
2020-10-17,46,157771,496,40.8,1
2020-10-25,47,109164,589,41.6,1
2020-10-30,47,123756,577,37.6,1
2020-11-01,58,186105,598,44.8,1
2020-11-04,42,145244,540,35.2,1
2020-11-06,60,169061,631,40.8,1
2020-11-07,34,65286,621,36.0,1
2020-11-08,52,61703,536,40.8,1
2020-11-09,39,85736,629,36.8,1
2020-11-12,47,100970,528,36.8,1
2020-11-25,35,59020,620,37.6,1
2020-12-02,24,141563,541,40.8,1
2020-12-09,24,124114,578,36.8,1
2020-12-12,21,58111,548,40.8,1
2020-12-19,64,114215,499,43.2,1
2020-12-28,48,85643,593,42.400000000000006,1
2020-12-30,48,101829,609,32.800000000000004,1
2021-01-03,50,79744,580,47.2,1
2021-01-04,44,165147,557,40.8,1
2021-01-07,65,191628,617,38.400000000000006,1
2021-01-09,53,84671,664,33.6,1
2021-01-13,32,128828,534,36.8,1
2021-01-23,42,80081,536,42.400000000000006,1
2021-01-25,53,155463,451,40.0,1
2021-01-26,54,76746,479,46.400000000000006,1
2021-01-27,47,114093,601,40.8,1
2021-01-28,26,179684,623,39.2,1
2021-01-31,43,78040,664,37.6,1
2021-02-01,30,100955,558,40.8,1
2021-02-05,45,94939,522,38.400000000000006,1
2021-02-10,54,105044,481,41.6,1
2021-02-12,47,86942,671,34.4,1
2021-02-14,36,70338,556,40.8,1
2021-02-17,41,41596,492,42.400000000000006,1
2021-02-18,37,107523,579,38.400000000000006,1
2021-02-28,59,81171,648,52.8,1
2021-03-14,47,85311,627,40.0,1
2021-03-17,43,82482,543,40.0,1
2021-03-19,39,27876,569,35.2,1
2021-03-26,42,63580,609,37.6,1
2021-03-28,51,119667,531,44.8,1
2021-03-29,21,156576,597,40.8,1
2021-04-01,28,90296,561,39.2,1
2021-04-02,37,114953,560,42.400000000000006,1
2021-04-10,45,55376,621,36.8,1
2021-04-12,46,257997,596,40.0,1
2021-04-16,34,39065,626,39.2,1
2021-04-17,41,51854,580,37.6,1
2021-04-19,40,201820,559,41.6,1
2021-04-22,32,180760,604,36.0,1
2021-05-03,29,168394,565,53.6,1
2021-05-07,47,104173,615,36.8,1
2021-05-08,44,110217,551,44.0,1
2021-05-12,38,90141,549,37.6,1
2021-05-13,51,66084,651,36.8,1
2021-05-15,33,102371,629,37.6,1
2021-05-17,38,217035,552,40.0,1
2021-05-25,35,47644,460,42.400000000000006,1
2021-05-31,40,89532,510,48.0,1
2021-06-04,43,95093,599,38.400000000000006,1
2021-06-13,39,49190,602,39.2,1
2021-06-18,42,77167,556,44.0,1
2021-06-19,23,41847,617,40.8,1
2021-06-24,53,87793,599,40.0,1
2021-06-27,36,92257,638,40.8,1
2021-06-30,67,99216,605,40.8,1
2021-07-02,42,68367,594,39.2,1
2021-07-07,51,52652,647,40.0,1
2021-07-11,46,54118,614,40.8,1
2021-07-14,44,73721,548,41.6,1
2021-07-15,69,78972,627,39.2,1
2021-07-16,39,104810,517,42.400000000000006,1
2021-07-18,40,53861,571,44.0,1
2021-07-22,43,300000,607,52.0,1
2021-07-23,43,147908,631,36.8,1
2021-07-27,30,120004,634,37.6,1
2021-07-28,46,57727,664,34.4,1
2021-07-29,29,136716,531,40.0,1
2021-08-02,45,76850,582,37.6,1
2021-08-04,49,95758,636,36.0,1
2021-08-08,24,110035,447,39.2,1
2021-08-09,27,121871,468,48.8,1
2021-08-20,38,49708,620,38.400000000000006,1
2021-08-24,54,164796,574,36.8,1
2021-08-27,41,94277,637,42.400000000000006,1
2021-08-30,36,77361,583,43.2,1
2021-09-06,51,300000,563,48.0,1
2021-09-09,51,108674,622,41.6,1
2021-09-15,49,110511,616,36.0,1
2021-09-18,33,46668,568,39.2,1
2021-09-21,42,192070,622,36.8,1
2021-09-24,41,185502,527,40.0,1
2021-09-26,54,67628,598,40.0,1
2021-09-29,28,92356,540,46.400000000000006,1
2021-10-06,57,204539,657,36.0,1
2021-10-07,37,83755,634,40.8,1
2021-10-14,65,146548,603,34.4,1
2021-10-16,48,52563,617,43.2,1
2021-10-20,40,30399,521,36.8,1
2021-10-23,31,121649,592,44.8,1
2021-10-28,23,108789,561,45.6,1
2021-10-31,32,55638,612,38.400000000000006,1
2021-11-08,58,62876,594,42.400000000000006,1
2021-11-17,40,108621,612,42.400000000000006,1
2021-11-20,46,115156,596,41.6,1
2021-11-22,52,35260,573,38.400000000000006,1
2021-11-27,64,108420,599,42.400000000000006,1
2021-11-30,36,156033,548,40.0,1
2021-12-02,49,192184,649,38.400000000000006,1
2021-12-03,50,213434,621,39.2,1
2021-12-10,48,192918,631,40.8,1
2021-12-12,54,91484,567,32.800000000000004,1
2021-12-21,43,132070,493,38.400000000000006,1
2021-12-22,60,54050,577,40.0,1
2021-12-24,71,157310,606,37.6,1
2022-01-01,25,86077,594,34.4,1
2022-01-05,47,119676,617,36.8,1
2022-01-07,44,141595,586,48.0,1
2022-01-11,32,70005,634,40.0,1
2022-01-19,34,42959,581,36.8,1
2022-01-20,48,63168,597,42.400000000000006,1
2022-01-22,60,224926,645,44.0,1
2022-01-25,51,96740,623,36.0,1
2022-01-29,55,127314,653,44.8,1
2022-01-30,33,133594,594,43.2,1
2022-02-08,47,422480,518,39.2,1
2022-02-10,33,158303,624,45.6,1
2022-02-19,26,134679,588,36.8,1
2022-02-21,31,60659,593,43.2,1
2022-03-03,37,66124,494,41.6,1
2022-03-18,33,166498,546,36.8,1
2022-03-29,49,93147,654,31.200000000000003,1
2022-04-06,50,43299,573,42.400000000000006,1
2022-04-08,57,88321,596,40.0,1
2022-04-25,39,68546,576,40.8,1
2022-04-28,31,78580,597,47.2,1
2022-04-30,42,122818,494,41.6,1
2022-05-03,40,64283,549,43.2,1
2022-05-06,42,103883,492,46.400000000000006,1
2022-05-15,27,57366,596,45.6,1
2022-05-18,40,41210,462,36.8,1
2022-05-21,56,62365,611,35.2,1
2022-05-25,28,66910,566,44.8,1
2022-06-03,37,107007,573,44.8,1
2022-06-08,53,151952,622,35.2,1
2022-06-12,31,184008,626,42.400000000000006,1
2022-06-13,62,99164,605,40.0,1
2022-06-15,34,134951,593,45.6,1
2022-06-22,52,48343,564,43.2,1
2022-06-26,45,58483,618,36.8,1
2022-06-27,64,151905,694,36.8,1
2022-07-01,39,155598,617,40.8,1
2022-07-04,45,57404,607,38.400000000000006,1
2022-07-06,51,74388,665,38.400000000000006,1
2022-07-07,54,126484,638,46.400000000000006,1
2022-07-08,71,72155,569,42.400000000000006,1
2022-07-13,44,111791,609,42.400000000000006,1
2022-07-16,55,65422,614,39.2,1
2022-07-24,39,57811,575,42.400000000000006,1
2022-07-27,50,90238,641,43.2,1
2022-07-29,37,60662,591,42.400000000000006,1
2022-08-04,54,71598,612,36.0,1
2022-08-12,25,90282,612,43.2,1
2022-08-13,54,53131,607,40.8,1
2022-08-17,36,80299,567,40.8,1
2022-08-18,47,86909,642,33.6,1
2022-08-21,23,79046,558,41.6,1
2022-08-25,31,67596,574,39.2,1
2022-08-28,44,77240,539,41.6,1
2022-09-11,33,63441,508,36.0,1
2022-09-12,38,36346,517,33.6,1
2022-09-20,47,69444,596,37.6,1
2022-09-28,35,96969,645,35.2,1
2022-09-30,36,104847,610,31.200000000000003,1
2022-10-01,49,65770,579,42.400000000000006,1
2022-10-06,60,97702,602,43.2,1
2022-10-10,53,121225,478,47.2,1
2022-10-13,51,75531,592,48.0,1
2022-10-14,46,61009,642,40.0,1
2022-10-22,56,90711,675,35.2,1
2022-10-26,55,118130,629,36.8,1
2022-11-06,40,106620,598,44.0,1
2022-11-07,60,111042,603,36.8,1
2022-11-10,31,48835,514,39.2,1
2022-11-16,23,50530,502,40.8,1
2022-12-02,36,86859,615,40.8,1
2022-12-04,52,216767,557,48.0,1
2022-12-05,40,29480,624,35.2,1
2022-12-06,62,79843,555,41.6,1
2022-12-15,50,204742,516,36.0,1
2022-12-17,41,131852,653,36.8,1
2022-12-20,36,35137,573,44.0,1
2022-12-21,29,76592,523,45.6,1
2022-12-27,40,41591,615,39.2,1
2023-01-06,42,87136,554,37.6,1
2023-01-08,43,77455,587,42.400000000000006,1
2023-01-21,55,98285,551,39.2,1
2023-01-27,25,136998,595,41.6,1
2023-02-03,43,90596,577,43.2,1
2023-02-05,49,123449,566,43.2,1
2023-02-12,26,110829,601,40.8,1
2023-02-15,37,111442,575,42.400000000000006,1
2023-02-17,49,31916,574,40.8,1
2023-03-13,59,88691,491,41.6,1
2023-03-20,38,147328,526,40.0,1
2023-03-24,25,66996,593,39.2,1
2023-03-27,66,252597,622,36.0,1
2023-03-28,47,73636,521,40.8,1
2023-03-30,18,296766,557,48.8,1
2023-03-31,33,63386,526,40.8,1
2023-04-07,27,82684,595,44.8,1
2023-04-08,42,71507,625,44.0,1
2023-04-12,36,66761,597,35.2,1
2023-04-14,63,102366,603,38.400000000000006,1
2023-04-19,71,73981,583,45.6,1
2023-04-26,35,142017,536,37.6,1
2023-05-02,39,60328,536,40.8,1
2023-05-03,53,215681,593,43.2,1
2023-05-05,18,58838,544,42.400000000000006,1
2023-05-15,39,233264,618,36.0,1
2023-05-16,43,140691,549,36.0,1
2023-05-18,47,98484,643,39.2,1
2023-05-24,53,127404,626,38.400000000000006,1
2023-06-03,44,73099,620,38.400000000000006,1
2023-06-06,32,208039,588,36.0,1
2023-06-10,48,52786,541,40.0,1
2023-06-11,46,47865,551,42.400000000000006,1
2023-06-16,54,51148,515,44.8,1
2023-06-17,48,90796,659,37.6,1
2023-06-23,31,73636,590,37.6,1
2023-06-24,31,77192,582,41.6,1
2023-06-25,38,82855,652,31.200000000000003,1
2023-06-27,36,108752,578,40.8,1
2023-06-30,40,68655,607,41.6,1
2023-07-03,51,201487,650,31.200000000000003,1
2023-07-07,28,127750,570,40.0,1
2023-07-08,49,60088,654,36.0,1
2023-07-09,37,97735,550,38.400000000000006,1
2023-07-20,61,52377,630,36.8,1
2023-07-24,49,98236,604,40.8,1
2023-07-27,46,102660,584,40.0,1
2023-07-29,73,82591,638,38.400000000000006,1
2023-08-02,18,124156,543,41.6,1
2023-08-03,31,91824,578,44.8,1
2023-08-04,35,189154,509,38.400000000000006,1
2023-08-05,33,118125,605,38.400000000000006,1
2023-08-09,40,119213,649,38.400000000000006,1
2023-08-22,42,80380,572,39.2,1
2023-08-23,50,98952,488,39.2,1
2023-08-25,44,78820,567,46.400000000000006,1
2023-08-27,43,48542,555,39.2,1
2023-08-31,57,70866,659,35.2,1
2023-09-03,54,111389,611,38.400000000000006,1
2023-09-10,38,89962,593,44.8,1
2023-09-22,43,113456,595,41.6,1
2023-09-28,48,92471,596,39.2,1
2023-10-14,40,45172,615,36.8,1
2023-10-22,68,95132,686,38.400000000000006,1
2023-10-26,40,146666,579,44.0,1
2023-10-27,46,117618,638,42.400000000000006,1
2023-10-29,53,118872,633,36.0,1
2023-10-30,48,183810,521,43.2,1
2023-10-31,48,108049,523,48.8,1
2023-11-08,58,130696,601,39.2,1
2023-11-10,22,53508,509,41.6,1
2023-11-14,42,118021,596,47.2,1
2023-11-23,40,117545,512,42.400000000000006,1
2023-11-29,55,153804,624,40.0,1
2023-12-04,53,131352,586,41.6,1
2023-12-08,24,79727,513,38.400000000000006,1
2023-12-12,39,163935,561,36.0,1
2023-12-15,29,60413,559,36.0,1
2023-12-20,40,49272,545,40.8,1
2023-12-21,37,56078,588,36.8,1
2023-12-26,58,85176,627,37.6,1
2023-12-27,22,220956,571,45.6,1
2023-12-31,20,69743,517,40.8,1
2024-01-10,61,56205,606,41.6,1
2024-01-18,36,127578,595,40.0,1
2024-01-27,39,60356,619,31.200000000000003,1
2024-02-05,57,176963,632,32.0,1
2024-02-07,18,137037,529,42.400000000000006,1
2024-02-09,31,81776,612,38.400000000000006,1
2024-02-18,48,99375,577,41.6,1
2024-02-21,63,197055,587,45.6,1
2024-02-25,29,87731,588,40.0,1
2024-03-10,45,172033,646,40.0,1
2024-03-13,27,142853,576,41.6,1
2024-03-21,34,65426,561,40.0,1
2024-03-25,26,139251,576,39.2,1
2024-03-26,48,23417,530,44.0,1
2024-03-29,45,54463,533,42.400000000000006,1
2024-04-07,32,154395,432,50.400000000000006,1
2024-04-08,57,43944,614,44.8,1
2024-04-09,60,61394,624,36.8,1
2024-04-10,51,61357,552,42.400000000000006,1
2024-04-11,41,116216,621,41.6,1
2024-04-13,30,178683,496,40.8,1
2024-04-14,46,160633,636,35.2,1
2024-04-19,52,60084,552,35.2,1
2024-04-25,47,120729,623,51.2,1
2024-05-05,50,130124,619,36.8,1
2024-05-14,48,89975,639,48.8,1
2024-05-23,50,76643,532,40.8,1
2024-05-28,32,70125,561,46.400000000000006,1
2024-05-30,45,49817,527,36.0,1
2024-06-02,18,170294,539,43.2,1
2024-06-08,52,122919,647,38.400000000000006,1
2024-06-12,54,103990,650,33.6,1
2024-06-26,26,45898,515,42.400000000000006,1
2024-06-29,33,86832,574,41.6,1
2024-07-08,28,71152,596,48.0,1
2024-07-12,40,68890,566,41.6,1
2024-07-14,37,56482,621,37.6,1
2024-07-19,28,64797,530,37.6,1
2024-07-21,32,145841,593,44.0,1
2024-07-22,38,94828,528,47.2,1
2024-07-26,42,70613,650,34.4,1
2024-07-31,36,62585,606,40.0,1
2024-08-01,60,124263,625,33.6,1
2024-08-02,56,49079,573,40.0,1
2024-08-10,28,97102,627,36.8,1
2024-08-11,52,107917,666,38.400000000000006,1
2024-08-18,54,50776,648,44.8,1
2024-08-19,37,77980,509,40.0,1
2024-08-20,39,225011,629,44.8,1
2024-08-25,53,98660,629,39.2,1
2024-08-30,37,70820,524,43.2,1
2024-09-02,38,133379,561,38.400000000000006,1
2024-09-03,49,64137,524,40.8,1
2024-09-05,20,65439,564,38.400000000000006,1
2024-09-11,43,181768,520,41.6,1
2024-09-20,48,151233,613,40.0,1
2024-09-22,33,67134,539,44.0,1
2024-10-03,40,99041,469,39.2,1
2024-10-06,52,118693,619,40.8,1
2024-10-11,48,142990,647,35.2,1
2024-10-13,57,96244,667,35.2,1
2024-10-22,35,82896,626,36.8,1
2024-10-25,18,114954,641,40.8,1
2024-10-28,34,47130,533,48.8,1
2024-10-29,57,59349,618,42.400000000000006,1
2024-10-30,24,91443,472,34.4,1
2024-11-06,51,112753,646,38.400000000000006,1
2024-11-07,36,86406,556,46.400000000000006,1
2024-11-25,42,122384,480,39.2,1
2024-11-27,44,170747,623,34.4,1
2024-12-02,47,37208,569,44.0,1
2024-12-04,26,198662,514,44.8,1
2024-12-05,45,215917,531,39.2,1
2024-12-07,46,52593,603,43.2,1
2024-12-20,45,51058,529,40.0,1
2024-12-28,44,88116,592,40.8,1
2024-12-29,29,101896,498,33.6,1
2025-01-03,51,117775,551,35.2,1
2025-01-05,41,90395,611,37.6,1
2025-01-07,43,91388,521,40.0,1
2025-01-09,35,162896,634,37.6,1
2025-01-14,40,233904,517,40.0,1
2025-01-15,22,145383,594,55.2,1
2025-01-20,57,83147,564,38.400000000000006,1
2025-01-21,51,73096,513,42.400000000000006,1
2025-01-25,44,85885,600,42.400000000000006,1
2025-01-31,37,213870,537,38.400000000000006,1
2025-02-11,54,98703,630,36.8,1
2025-02-12,34,69500,610,34.4,1
2025-02-15,32,63250,578,40.8,1
2025-02-16,25,77050,580,42.400000000000006,1
2025-02-28,48,44220,672,35.2,1
2025-03-03,45,79750,537,41.6,1
2025-03-06,49,161912,656,35.2,1
2025-03-07,41,83829,579,44.0,1
2025-03-08,56,60989,668,38.400000000000006,1
2025-03-12,48,88438,647,36.8,1
2025-03-14,34,55296,516,42.400000000000006,1
2025-03-18,43,72838,580,44.0,1
2025-03-19,60,53525,646,43.2,1
2025-03-24,44,82271,574,45.6,1
2025-04-07,52,136609,628,36.8,1
2025-04-11,50,110135,547,42.400000000000006,1
2025-04-12,42,119562,472,40.0,1
2025-04-17,28,125522,645,32.0,1
2025-04-18,45,63382,618,38.400000000000006,1
2025-04-22,46,151706,586,49.6,1
2025-04-30,44,46225,563,44.0,1
2025-05-05,36,105048,616,39.2,1
2025-05-06,36,44265,578,36.8,1
2025-05-08,44,120730,626,34.4,1
2025-05-13,47,105691,534,39.2,1
2025-05-22,47,31963,564,35.2,1
2025-05-26,64,72147,582,45.6,1
2025-05-27,52,47227,666,35.2,1
2025-05-28,42,117906,565,36.0,1
2025-06-01,35,70050,585,41.6,1
2025-06-05,45,148312,609,42.400000000000006,1
2025-06-07,44,164964,553,45.6,1
2025-06-10,50,37431,641,33.6,1
2025-06-18,40,69714,607,36.8,1
2025-06-19,52,113879,591,40.0,1
2025-06-22,34,154135,587,35.2,1
2025-06-23,54,61353,571,43.2,1
2025-06-25,46,67253,604,38.400000000000006,1
2025-06-27,63,84879,596,46.400000000000006,1
2025-06-28,33,373724,639,40.0,1
2025-06-29,35,67786,580,43.2,1
2025-07-09,42,58438,637,35.2,1
2025-07-10,26,128106,601,41.6,1
2025-07-16,38,74587,558,38.400000000000006,1
2025-07-23,47,273916,628,35.2,1
2025-07-25,50,94763,673,32.800000000000004,1
2025-07-30,45,142076,575,51.2,1
2025-07-31,33,98288,568,44.0,1
2025-08-02,37,187916,552,42.400000000000006,1
2025-08-09,37,191232,626,39.2,1
2025-08-12,50,65990,590,46.400000000000006,1
2025-08-23,33,71048,647,41.6,1
2025-09-05,38,85584,592,37.6,1
2025-09-06,18,73872,597,40.8,1
2025-09-14,36,96482,581,38.400000000000006,1
2025-09-15,61,52314,663,35.2,1
2025-09-28,39,62069,536,40.0,1
2025-10-08,59,84706,647,38.400000000000006,1
