AnnualIncome,LoanAmount,MonthlyDebtPayments,DebtToIncomeRatio,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,NetWorth,MonthlyIncome,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved
72408,23181,803,0.3654388165555161,3815,305,22524,33442,5786,6034.0,771.4847975541575,0.2609354984345637,0
105087,48331,772,0.1805575456028504,21204,2121,201313,59261,142052,8757.25,1208.1533253808643,0.2261158840253349,0
15000,26412,468,0.3501123923122793,2232,2085,234374,11163,223211,1250.0,685.4486806693817,0.9227589445355052,0
38513,21225,373,0.1684358288403604,1458,340,44836,28653,16183,3209.4166666666665,681.5771431207845,0.3285884173512688,0
77555,22854,499,0.1882781482364729,8710,691,39027,9580,29447,6462.916666666667,849.2551010144613,0.2086140314895691,1
15000,18177,528,0.2360832262016053,5689,1111,99036,274582,1077,1250.0,572.5428040888214,0.8804342432710571,0
24973,17466,336,0.4149944474463848,3167,1547,44944,30121,14823,2081.083333333333,551.6544409318947,0.4265347892196666,0
18248,16443,733,0.063628336,2682,548,204131,11483,192648,1520.6666666666667,815.9042462329553,1.018569210587213,0
67367,26889,317,0.4659121203237648,8241,5430,115099,16012,99087,5613.916666666667,777.9871224967229,0.1950486955031495,1
32418,32208,447,0.3187597670827545,2926,533,326015,12696,313319,2701.5,2908.117979703395,1.241946318602034,0
26879,20313,562,0.2196495791430893,4029,3740,94575,23485,71090,2239.9166666666665,536.9999395,0.4906432260830812,0
54128,20676,322,0.1001359210966172,4943,388,92000,4196,87804,4510.666666666667,745.1584241528697,0.2365855211689778,1
19924,21767,495,0.3843523709782191,21032,1679,22711,8051,14660,1660.3333333333333,782.6292869929284,0.7695016785743396,0
90788,18243,153,0.1466334645866133,1980,1139,13542,32218,5911,7565.666666666667,623.8822990927248,0.10268524,1
190445,28894,304,0.0128331622197715,2857,956,154003,38230,115773,15870.416666666666,1094.712989199109,0.08813335,1
35372,25313,424,0.4043888356972662,2811,3235,123931,4752,119179,2947.6666666666665,1284.618306282223,0.5796511273150141,0
15000,50226,537,0.2267352834345347,3575,3286,153676,71478,82198,1250.0,1605.3625699782506,1.7138900559826005,0
40829,25478,785,0.2537459242072161,2267,1111,42122,7348,34774,3402.4166666666665,920.2117648607896,0.5011766435212588,0
58655,26493,206,0.1751875631410331,2003,1731,64414,41991,22423,4887.916666666667,795.1657822698164,0.2048246421828965,0
68801,18652,1044,0.3352329239387456,1810,630,446359,16938,429421,5733.416666666667,777.3521551115733,0.3176730841316096,0
92731,31116,396,0.2211172138523826,3025,1004,11209,14838,7629,7727.583333333333,972.6302005988942,0.1771097303726556,0
40050,112253,406,0.184527533,1506,726,18390,29714,7672,3337.5,4432.382784161488,1.4497027068648651,0
40784,41465,370,0.2037609569235825,21978,1394,197632,25549,172083,3398.6666666666665,1228.1601646621898,0.4702315117680041,0
15000,26563,378,0.2981084080452126,1357,2246,496594,22556,474038,1250.0,822.2789887950337,0.9602231910360268,0
86699,7469,413,0.17913554613205,1872,8480,36531,70691,8130,7224.916666666667,197.40508700773685,0.084486108,1
17676,17801,226,0.3556427908501307,8380,1994,70945,22271,48674,1473.0,584.1709707,0.5500142367013272,0
42752,14379,363,0.2975879340693383,6094,1404,172820,26438,146382,3562.6666666666665,563.8738944216548,0.2601629568923058,0
29096,40138,685,0.2394469395065947,1461,1471,86250,50013,36237,2424.6666666666665,2139.408949094737,1.164864840154552,0
60992,24642,664,0.055588171,4726,1723,52202,13350,38852,5082.666666666667,771.6304125662359,0.2824561409823392,0
100032,19105,824,0.2266498679075305,9197,302,49889,4301,45588,8336.0,516.5148902524263,0.160810328,1
35882,9259,257,0.1475930047073919,3552,1162,61154,91262,8266,2990.1666666666665,281.76038720038355,0.1801773771362968,0
32781,17468,1180,0.093777322,7428,2122,299192,4938,294254,2731.75,494.5061263795844,0.6129792720342581,0
51707,20069,407,0.2173883786590151,3815,1252,24114,24580,2253,4308.916666666667,563.2583042698386,0.2251745344196735,0
31251,66582,357,0.1601695538852808,2313,945,30153,37940,3276,2604.25,3545.091047229281,1.498355014775571,0
22359,26889,216,0.4552599311322595,24764,3578,131521,46881,84640,1863.25,877.6917767367678,0.586980693,0
152650,24815,148,0.3843075055403481,4346,587,127009,89100,37909,12720.833333333334,773.1082609982855,0.072409428,1
15120,21849,423,0.2386445210334251,1874,1245,18522,14697,3825,1260.0,544.9168704597823,0.7681879924283986,0
59830,22734,246,0.5723276818607661,2511,329,449345,13537,435808,4985.833333333333,1129.0809235415209,0.2757976112735793,1
55308,19539,362,0.2662099288951911,5995,932,101618,7871,93747,4609.0,434.2651669,0.1727631084679503,1
30948,25291,286,0.3603486893761465,7167,291,99978,21318,78660,2579.0,970.2078724473372,0.4870910711311893,0
56940,15752,213,0.1172375847043762,1349,634,97769,33321,64448,4745.0,392.9661211330063,0.1277062425991583,0
44000,28714,457,0.1999940926692494,5872,2939,331208,29418,301790,3666.6666666666665,833.0142733198009,0.3518220745417639,0
81554,35101,519,0.2943235497801772,3233,1955,84421,14641,69780,6796.166666666667,1093.628675336426,0.237285039409926,0
26567,17339,194,0.065337074,2738,512,55729,81589,9625,2213.9166666666665,490.98002931805775,0.3093973859230132,0
33569,37172,212,0.032588299,2103,12534,56452,23346,33106,2797.4166666666665,1180.3849642470652,0.4977395683804934,0
94238,15917,203,0.4589280817317269,3382,7940,54668,13137,41531,7853.166666666667,581.5503891626953,0.099902424,1
45145,11431,879,0.2974102492388263,7060,2678,119670,26515,93155,3762.0833333333335,345.4978468657514,0.3254839774590545,1
70881,34590,324,0.117077159340471,2050,1136,3628,21804,1188,5906.75,1078.8701894649091,0.2375028889770024,0
105240,13937,391,0.1983002305886784,1960,2516,62442,28628,33814,8770.0,306.3041270938386,0.079510163,0
63709,22221,623,0.4732130443935223,3930,136,80888,12851,68037,5309.083333333333,756.0285458271679,0.2597488981137047,0
31713,38865,314,0.6010572141517163,395,231,49718,43113,6605,2642.75,1368.8672558289884,0.6367863989514666,0
29900,23396,589,0.1858154591411437,470,2353,23801,36682,2585,2491.6666666666665,703.0228597,0.518537603,0
87673,10667,725,0.3856831470770867,1134,551,71561,5492,66069,7306.083333333333,280.84150732555884,0.1376717813683426,1
55454,35551,1206,0.5263880901334251,4159,1098,33268,27329,5939,4621.166666666667,1421.3129304334127,0.5685388820500045,0
40722,31637,269,0.1438867784578108,9140,398,141270,20184,121086,3393.5,840.5550282755453,0.326964794,0
76571,34173,407,0.216618899532913,2220,3117,78008,5915,72093,6380.916666666667,1023.8112085485172,0.2242328623445195,0
22901,18493,288,0.2641119559708486,3120,3491,99630,10098,89532,1908.4166666666667,616.6902883,0.4740528125440489,0
49421,17161,438,0.2587870541153639,10050,1546,17627,40586,9540,4118.416666666667,470.8010353828341,0.2206675790573644,0
43507,31845,544,0.084789922,1192,5407,30751,34764,6480,3625.5833333333335,1083.810065641057,0.448978803128064,0
41402,25900,419,0.092334724,9920,6772,36312,37402,4623,3450.1666666666665,1013.0533057953522,0.4150678631356994,0
37405,15770,442,0.2996445580910432,14266,762,15028,29045,4530,3117.083333333333,485.0316359934904,0.2974035458340298,0
48399,19629,346,0.2145117695194217,993,1120,91813,16583,75230,4033.25,666.3672618766681,0.2510053336333399,0
44775,20270,228,0.1961324000931501,3070,1348,31257,64801,8511,3731.25,638.1928593137129,0.2321454899333234,0
125711,12133,543,0.2147964982057931,16833,1592,18425,10411,8014,10475.916666666666,381.0299962124382,0.088205169,1
15131,25599,351,0.3810705651994572,2458,2915,73848,15145,58703,1260.9166666666667,818.1347930558546,0.9272101987092892,0
73576,12055,491,0.24930210540325,1924,600,50167,59651,4647,6131.333333333333,433.0636692410553,0.1507116998870917,1
50345,18805,441,0.087930541,13605,785,50714,3537,47177,4195.416666666667,605.2927055520034,0.2493894620443746,0
56816,20719,288,0.076462014,8124,705,636666,14955,621711,4734.666666666667,1859.728992378859,0.4536177821132481,1
34588,18962,444,0.2816647708675246,8955,256,89846,11153,78693,2882.333333333333,619.1897311280587,0.3688642527332226,0
55383,9093,419,0.093625715,6607,1948,13714,6183,7531,4615.25,292.9212284818008,0.1542540985822655,1
65180,15086,323,0.1893285066405936,562,1662,64928,61849,3079,5431.666666666667,390.4395277269173,0.1313481793912704,1
15000,13879,248,0.3668960471331983,12973,290,27247,5651,21596,1250.0,423.0232759033748,0.5368186207226998,0
149736,27917,604,0.3647327710678125,3003,2256,290530,10999,279531,12478.0,861.8653947452472,0.1174759893208244,1
42717,41561,326,0.252630804,489,759,48731,10782,37949,3559.75,2143.813798122449,0.6938166438998383,0
66417,9493,408,0.1906296164057773,2012,1060,112110,24837,87273,5534.75,284.8361861202966,0.1251793100176695,1
22121,18805,250,0.064124248,667,2669,63386,7364,56022,1843.4166666666667,538.7544132243307,0.4278763599607598,0
37558,18686,278,0.2197450342212391,4575,1163,9316,17652,2660,3129.833333333333,524.3153017738612,0.2563444172023625,0
134691,16421,607,0.169401203082851,1619,306,48831,27992,20839,11224.25,834.2114895797027,0.1284015849236877,1
33101,29824,358,0.1637510519359936,2548,1004,220116,8784,211332,2758.4166666666665,856.1962596946144,0.4401786990222462,0
44364,5538,313,0.3018415197190495,2471,764,203672,8223,195449,3697.0,222.0136237945848,0.1447156136853083,1
38596,13078,292,0.3877176939850358,1121,1118,40099,121827,4304,3216.333333333333,524.0681505529991,0.2537262360513003,0
139954,40858,293,0.4489110385391811,427,1429,51633,5937,45696,11662.833333333334,1500.8545233870482,0.1538094965534717,0
53444,16462,730,0.237526015053893,4608,638,44150,32195,11955,4453.666666666667,520.6123708999971,0.2808051128433493,0
113523,10990,427,0.2217120257217952,4279,2107,130005,17536,112469,9460.25,293.5510189961893,0.076166171,1
31270,6624,151,0.092079081,2857,478,78348,31210,47138,2605.833333333333,605.1855616188404,0.2901895343596445,0
46717,20915,616,0.4418981690673736,1085,2885,8920,11975,3094,3893.0833333333335,608.6245936,0.3145641869935919,0
56613,25148,340,0.4353465580683332,4138,1730,226679,47469,179210,4717.75,988.3808662665645,0.2815708476003528,0
86882,51374,380,0.225287113,10374,565,45230,263937,4755,7240.166666666667,1472.6892010165866,0.2558904078197905,0
69876,17992,545,0.2581546911234629,915,506,19626,7056,12570,5823.0,461.8554917370296,0.1729100964686638,0
32582,26598,231,0.1466522547528528,288,1263,32463,10978,21485,2715.1666666666665,816.4890481577511,0.3857918046127621,0
101562,30836,323,0.1895148847247776,7528,378,62262,36152,26110,8463.5,754.4015679516308,0.127299766,0
24611,21110,489,0.222317808740061,10586,1352,190056,20979,169077,2050.9166666666665,1123.8598944257246,0.7864092776851285,0
22390,17603,389,0.3996419437011357,612,293,24284,46780,8633,1865.8333333333333,454.9331165012831,0.4523089503356587,0
47430,32684,377,0.191575883028812,673,505,57941,32526,25415,3952.5,925.8059033784632,0.3296156618288332,0
57105,24760,168,0.3289675827238538,2593,129,12750,12673,1632,4758.75,1008.3119297517228,0.2471892681380032,0
28751,30150,343,0.3386737526920623,8298,2785,33961,20305,13656,2395.9166666666665,900.7265157618874,0.5191025769240253,0
43567,17390,308,0.2657086420246948,12906,4746,131041,11319,119722,3630.5833333333335,917.707995,0.3376063520461543,0
20113,27214,347,0.4527286073123595,4698,1891,99134,46478,52656,1676.0833333333333,1048.852877752631,0.8328063706573645,0
52633,13197,347,0.1779702798550773,4853,730,51962,68554,6415,4386.083333333333,276.8821426280891,0.1422412880044282,0
93617,10868,826,0.4673102205493854,3489,357,79807,54410,25397,7801.416666666667,272.9321558018385,0.1408631538034978,1
34276,5163,365,0.1981528554668243,3141,42,38198,5950,32248,2856.333333333333,125.3743363618091,0.1716796602970506,0
25819,12824,103,0.2019140922561381,1622,1914,63582,13848,49734,2151.583333333333,465.0233901800585,0.2640025052155661,0
72220,11336,533,0.094343712,1517,1581,125642,21847,103795,6018.333333333333,428.4952003309024,0.1597610413177905,1
30032,5789,148,0.6043856643408314,1632,524,87958,20361,67597,2502.6666666666665,293.2641924268633,0.1763176048588958,0
259639,39203,189,0.2159059871988357,21809,322,22131,31385,2180,21636.58333333333,3647.080235,0.1772960256986935,1
58238,15647,770,0.1772264166734497,8060,2519,52153,9039,43114,4853.166666666667,473.4874039847746,0.2562218628355591,0
91953,21715,264,0.5055457486130079,2879,4094,33213,16233,16980,7662.75,650.4353504324093,0.1193351408348712,1
22237,33644,816,0.4714725437536073,1967,2124,64119,23197,40922,1853.0833333333333,941.3235674849936,0.948324090921434,0
74085,36208,375,0.5635651599936462,2043,15912,70652,75471,7553,6173.75,3304.2319994015834,0.5959476816200175,0
33370,18943,545,0.3087013594120962,966,1022,92153,124204,10973,2780.833333333333,950.6725134774842,0.5378504693356251,0
36562,38934,782,0.3734549246387511,636,1405,2612797,9589,2603208,3046.833333333333,1230.4340525540445,0.6605002087043524,1
25658,6423,374,0.065644668,2411,480,73838,16061,57777,2138.1666666666665,237.88299637288844,0.2861717965731803,0
75095,11657,182,0.5825699687710878,1570,510,61242,19771,41471,6257.916666666667,329.8993646775571,0.081800285,0
50657,20536,638,0.061151466,20114,475,124093,16677,107416,4221.416666666667,620.4555409479389,0.2981121363557902,0
48707,9741,558,0.2514780656533204,2817,337,118511,49436,69075,4058.9166666666665,384.46701682767775,0.2321966904537773,0
99138,23007,472,0.2485996001451692,2596,152,10777,42553,1156,8261.5,755.6043743495422,0.1485934000302054,1
48280,40424,340,0.236268128684344,3207,4229,102225,18198,84027,4023.3333333333335,1482.4314109198974,0.4529655536669173,0
88064,24156,382,0.1095899033439234,7110,252,161014,25181,135833,7338.666666666667,566.4924363690118,0.1292458806825506,1
177855,17289,280,0.4362052170220401,3966,947,100795,5297,95498,14821.25,489.0777211980991,0.051890206,1
55440,31937,497,0.3286043803976798,958,1312,32453,11335,21118,4620.0,2936.3855222944208,0.7431570394576669,0
44377,11938,215,0.172368675,2782,1457,59951,7527,52424,3698.0833333333335,450.01354973535626,0.1798265452109037,1
115677,27962,364,0.4827722727825871,1314,3522,89023,36001,53022,9639.75,1537.2902256069656,0.1972343915150253,0
163133,13145,210,0.1071683365164474,687,411,85222,23228,61994,13594.416666666666,485.8890017679324,0.051189324,1
51989,26850,351,0.486149061,1462,391,54547,10095,44452,4332.416666666667,822.1477906476991,0.2707836943925136,0
28941,15007,112,0.5284547949288323,1934,2041,133058,88914,44144,2411.75,387.7529908928042,0.2072159182721278,0
117455,19372,697,0.6809138064677995,3583,11199,288436,9076,279360,9787.916666666666,574.9512772267276,0.1299511755712462,1
68157,15091,394,0.085408128,4080,422,12695,66526,3047,5679.75,585.3517618414047,0.1724286741214674,1
117456,17310,451,0.1182265399768881,1689,949,31979,20558,11421,9788.0,660.0888871772578,0.1135154155268959,1
84230,61376,565,0.093365907,922,542,29842,14843,14999,7019.166666666667,1822.717367698761,0.34017106,0
47910,25068,447,0.021372031,3131,2447,68899,11745,57154,3992.5,1324.369438268233,0.4436742487835273,0
37709,27440,435,0.4629774584414892,1785,543,9716,16781,4672,3142.4166666666665,895.7625781123185,0.4234838085695144,0
73625,12927,182,0.192876457773361,1176,1252,159098,20357,138741,6135.416666666667,663.3784315790815,0.1377866374050795,0
19757,17292,385,0.1810785285637999,3053,1330,44477,106504,2757,1646.4166666666667,399.1784068142738,0.4762940163876745,0
111020,23552,496,0.4521291285619364,2429,1167,43095,13083,30012,9251.666666666666,2230.0372998322887,0.2946536443702708,1
54202,12176,292,0.0518711996149119,4326,727,39483,98490,4212,4516.833333333333,349.5780008176501,0.142041548463374,0
36184,38807,210,0.2278326411523714,2111,611,68351,27576,40775,3015.333333333333,1171.6784528528517,0.4582174838114696,0
56320,21883,653,0.069661939,2478,1449,326068,11532,314536,4693.333333333333,580.3166457165904,0.2627805353089326,1
111257,18609,525,0.1859452564174194,1370,300,24626,30649,1850,9271.416666666666,572.6492834670111,0.1183906756572991,1
55172,40220,317,0.5761166993738129,14454,1521,82416,8200,74216,4597.666666666667,1544.0523603590204,0.4047819242425187,0
29020,16570,158,0.1737664767520638,713,862,22214,10612,11602,2418.333333333333,468.9354160461152,0.2592427633546996,0
19990,11236,511,0.26027699,1477,5786,100659,7602,93057,1665.8333333333333,567.3519040174446,0.6473348098153745,0
196442,25519,326,0.169365098745828,4763,4810,9573,128864,6837,16370.166666666666,1297.7445643696772,0.099189251,1
21725,38766,206,0.427326576,2332,494,90534,37492,53042,1810.4166666666667,1262.494508,0.8111362071260299,0
49098,31990,352,0.1264628873651131,11754,2781,22172,20084,2088,4091.5,1030.5820787313603,0.337915698,0
33061,11580,384,0.3052513339718397,9144,801,144771,65760,79011,2755.083333333333,409.0368044064393,0.2878449427687387,1
91077,37597,917,0.1155737778099784,3363,431,17299,34929,5342,7589.75,1579.166586928455,0.3288865360424856,0
17270,28352,858,0.2443503106211836,24249,1912,38825,12998,25827,1439.1666666666667,1065.4835388311126,1.336525910015828,0
137635,12414,285,0.3663117190145242,1133,4015,13939,5554,8385,11469.583333333334,349.9949757257945,0.055363387,1
44523,12648,90,0.4228086860980984,2266,1008,25164,36282,6932,3710.25,310.0847435991121,0.1078322872041269,0
40998,29172,463,0.7110837126016447,2493,1858,16901,30888,7970,3416.5,960.7096341553024,0.4167158302810778,0
49839,34869,565,0.2604730757857563,15200,651,15851,29182,5439,4153.25,1045.1508480046432,0.3876845477649174,0
48462,29111,477,0.2842673053306766,3972,2076,45290,66211,5097,4038.5,680.4873932461569,0.2866131962971788,0
37268,26549,504,0.1041444162817191,652,2447,29282,10542,18740,3105.6666666666665,842.0263949487166,0.4334098083982129,0
85512,20367,338,0.314813123,2369,1188,149155,52247,96908,7126.0,601.1702804,0.1317948751558303,1
16619,22186,236,0.092377568,10910,2098,54770,43575,11195,1384.9166666666667,694.0975599191905,0.6715909933828922,0
30548,22280,920,0.2121940899911138,1701,2417,21711,29011,6851,2545.6666666666665,654.4659852730042,0.618488668,0
108416,60460,292,0.1838290160975602,48211,772,67394,5965,61429,9034.666666666666,1546.8605739872908,0.2035338592813559,0
56255,14526,573,0.009300333,23933,658,366111,44654,321457,4687.916666666667,744.2206980295687,0.2809821060591027,1
35795,18086,239,0.4044209770522251,1038,4134,165933,34105,131828,2982.9166666666665,715.6642372405776,0.3200438845337877,0
20882,23838,671,0.2458156813281793,2011,536,144098,56021,88077,1740.1666666666667,748.9677587509717,0.8159952641036137,0
21573,12419,194,0.4087024481540232,2935,229,51753,3910,47843,1797.75,399.2086431943682,0.3299728233594038,0
86157,16775,370,0.3294150353121829,3368,4485,106697,33353,73344,7179.75,656.7397066687212,0.1430049384266473,1
29708,44904,631,0.1390383949919657,1303,5039,98472,15326,83146,2475.6666666666665,1307.9855698080833,0.7832175453647839,0
77920,20677,1093,0.4797705757616276,6127,2578,36486,94587,5109,6493.333333333333,804.8666365293196,0.2922792561390123,0
35187,82538,572,0.2100346607236835,7826,502,24320,13229,11091,2932.25,2917.6330220354057,1.1900871419679109,0
53299,36261,630,0.4570036583948081,3678,1968,175920,10093,165827,4441.583333333333,1503.626162452273,0.4803751280404375,0
54605,12604,462,0.2270988899329032,5395,399,13039,59277,3640,4550.416666666667,615.4635941,0.2367835020415405,1
36754,36455,674,0.1827675746410422,3055,5057,138955,21422,117533,3062.833333333333,1512.0686735034728,0.7137406563106512,0
37426,38810,153,0.2736874454580693,6120,1145,171618,1466,170152,3118.833333333333,1996.6664745119165,0.6892533985502858,0
29512,28201,455,0.2382239805618368,2290,5251,24830,65744,3661,1250.0,909.8344899682252,1.0918675919745802,0
34589,91631,285,0.07125895,1428,1002,72147,55009,17138,2882.4166666666665,3527.670993195453,1.322734161679882,0
56584,15122,115,0.4960157211226295,6834,1269,122221,6443,115778,4715.333333333333,547.5004526336796,0.1404991770041735,1
32777,27822,392,0.2064896020291528,4771,4937,120149,5740,114409,2731.4166666666665,777.9351424619464,0.4283254022498506,0
70901,20087,582,0.328179015710244,12504,522,43108,19402,23706,5908.416666666667,576.4971798101402,0.1960757416358257,0
52184,38284,356,0.1463717864147254,7697,4696,135135,52369,82766,4348.666666666667,1223.3993090306983,0.3631916240297482,0
43451,9077,564,0.2942756747702839,1218,7400,58686,11575,47111,3620.9166666666665,359.25265225918326,0.2549776029806034,0
23881,17067,678,0.4103191980213574,22121,3206,38426,91806,5423,1990.0833333333333,470.677622043141,0.5772007648137722,0
44248,21565,499,0.2248814925018989,41840,1886,70635,20206,50429,3687.3333333333335,837.6999919731885,0.3625112977688994,0
15885,35284,264,0.5418069239545946,2316,3975,302488,23662,278826,1323.75,1069.5813582736496,1.007426899545722,0
39637,28863,337,0.1097211866260738,823,554,197025,22402,174623,3303.083333333333,1533.3588044053192,0.5662463267367316,0
48777,32798,176,0.2891038188839888,1382,446,100090,30965,69125,4064.75,979.5255674957392,0.284279616,0
43208,13574,361,0.3408269936918299,2108,678,23314,73184,2671,3600.6666666666665,305.74013303204976,0.1851713015271384,0
18662,28715,511,0.4274032839526854,3730,149,94880,7676,87204,1555.1666666666667,866.3323772508328,0.8856493691463935,0
