ApplicationDate,Age,AnnualIncome,CreditScore,RiskScore,LoanApproved
2019-03-29,28,106388,518,57.0,0
2019-03-30,46,35651,593,62.0,0
2019-03-31,33,80427,572,53.0,0
2019-04-04,33,58110,524,58.0,0
2019-04-05,25,50974,540,55.0,0
2019-04-08,31,55181,514,61.0,0
2019-04-09,42,84242,603,47.0,0
2019-04-10,38,80819,551,50.0,0
2019-04-11,37,15781,596,54.0,0
2019-04-12,47,42829,631,50.0,0
2019-04-13,49,38114,627,56.0,0
2019-04-15,33,37192,618,53.0,0
2019-04-16,36,58640,601,67.0,0
2019-04-17,18,33339,578,60.0,0
2019-04-20,59,21692,544,51.0,0
2019-04-21,37,54553,605,63.0,0
2019-04-25,53,32322,683,57.0,0
2019-04-26,38,23183,600,51.0,0
2019-04-27,28,35295,626,51.0,0
2019-04-28,20,28624,591,53.0,0
2019-04-29,42,41957,633,52.0,0
2019-04-30,30,63120,485,50.0,0
2019-05-01,22,53408,611,45.0,0
2019-05-02,32,28323,614,55.0,0
2019-05-03,27,45153,589,51.0,0
2019-05-04,60,15000,608,57.0,0
2019-05-09,29,37098,569,50.0,0
2019-05-10,58,15000,638,54.0,0
2019-05-11,46,48160,573,56.0,0
2019-05-13,37,52719,614,45.0,0
2019-05-15,23,59756,574,55.0,0
2019-05-17,62,34147,561,59.0,0
2019-05-18,23,52656,582,53.0,0
2019-05-19,46,29822,609,48.0,0
2019-05-21,34,28500,591,60.0,0
2019-05-22,32,19063,526,50.0,0
2019-05-23,29,19018,563,64.0,0
2019-05-24,40,72965,595,51.0,0
2019-05-25,30,125689,634,60.0,0
2019-05-27,39,64438,528,54.0,0
2019-05-28,37,45729,585,57.0,0
2019-05-29,29,19553,559,57.0,0
2019-05-30,33,28539,572,50.0,0
2019-05-31,49,47130,630,49.0,0
2019-06-01,46,35985,558,55.0,0
2019-06-02,28,30967,516,58.0,0
2019-06-03,41,24251,549,60.0,0
2019-06-05,19,29548,510,48.0,0
2019-06-08,46,79036,609,53.0,0
2019-06-09,30,56699,524,53.0,0
2019-06-10,18,15844,558,52.0,0
2019-06-13,43,78910,580,52.0,0
2019-06-14,29,95344,527,56.0,0
2019-06-15,47,26417,632,53.0,0
2019-06-16,20,25531,445,49.0,0
2019-06-17,39,58617,625,55.0,0
2019-06-18,25,26712,564,59.0,0
2019-06-19,32,40310,544,63.0,0
2019-06-20,40,15000,566,52.0,0
2019-06-23,52,41332,565,54.0,0
2019-06-24,33,28122,483,58.0,0
2019-06-25,50,42964,514,50.0,0
2019-06-26,26,49548,504,55.0,0
2019-06-27,46,51051,584,53.0,0
2019-06-28,57,75017,542,50.0,0
2019-06-29,18,26317,501,59.0,0
2019-06-30,30,28620,504,48.0,0
2019-07-01,46,83580,541,67.0,0
2019-07-02,37,39872,557,50.0,0
2019-07-04,32,33300,592,52.0,0
2019-07-05,41,65680,564,56.0,0
2019-07-06,38,48832,635,51.0,0
2019-07-08,43,29315,548,59.0,0
2019-07-09,44,44780,585,53.0,0
2019-07-10,35,24199,521,54.0,0
2019-07-11,34,112033,596,52.0,0
2019-07-13,44,43752,595,59.0,0
2019-07-14,34,84516,574,55.0,0
2019-07-15,43,63079,611,48.0,0
2019-07-17,50,27549,571,61.0,0
2019-07-21,18,64715,553,49.0,0
2019-07-22,27,68021,547,50.0,0
2019-07-24,35,73723,610,48.0,0
2019-07-25,40,28024,540,57.0,0
2019-07-28,37,61529,462,63.0,0
2019-07-29,49,45667,586,54.0,0
2019-07-30,18,29145,595,57.0,0
2019-07-31,42,51631,522,52.0,0
2019-08-02,22,68067,613,43.0,0
2019-08-04,44,41288,596,48.0,0
2019-08-05,35,18005,634,65.0,0
2019-08-06,47,50061,614,48.0,0
2019-08-07,67,87371,509,54.0,0
2019-08-08,42,18379,605,52.0,0
2019-08-09,42,51726,549,64.0,0
2019-08-10,34,47633,610,44.0,0
2019-08-11,29,25959,596,55.0,0
2019-08-12,49,72613,618,52.0,0
2019-08-17,44,24270,584,65.0,0
2019-08-18,52,37808,543,53.0,0
2019-08-20,36,30273,604,55.0,0
2019-08-21,28,45303,631,53.0,0
2019-08-23,44,43325,572,59.0,0
2019-08-24,49,30386,586,66.0,0
2019-08-25,28,30694,597,51.0,0
2019-08-26,50,40892,589,52.0,0
2019-08-27,56,78126,604,50.0,0
2019-08-28,44,39612,610,50.0,0
2019-08-29,62,15000,554,48.0,0
2019-08-30,30,65391,551,49.0,0
2019-08-31,25,58653,451,53.0,0
2019-09-01,18,17186,493,57.0,0
2019-09-02,57,28997,583,57.0,0
2019-09-04,39,45293,634,45.0,0
2019-09-05,43,75736,595,52.0,0
2019-09-06,26,46480,549,67.0,0
2019-09-07,69,97919,534,67.0,0
2019-09-08,41,33513,575,55.0,0
2019-09-10,48,55698,465,49.0,0
2019-09-11,45,17540,561,54.0,0
2019-09-12,42,62851,555,49.0,0
2019-09-13,30,27864,499,55.0,0
2019-09-14,45,83417,569,49.0,0
2019-09-15,62,68487,659,62.0,0
2019-09-16,56,44238,595,59.0,0
2019-09-18,33,15000,580,50.0,0
2019-09-21,40,40241,586,54.0,0
2019-09-22,53,87051,563,55.0,0
2019-09-23,19,64805,531,48.0,0
2019-09-24,58,15692,683,51.0,0
2019-09-25,38,44243,485,56.0,0
2019-09-26,34,19199,604,58.0,0
2019-09-27,27,15000,579,58.0,0
2019-09-28,20,42675,612,48.0,0
2019-09-29,49,44015,640,47.0,0
2019-10-01,24,29791,549,55.0,0
2019-10-02,24,31740,471,63.0,0
2019-10-03,35,94036,616,55.0,0
2019-10-04,60,48350,641,50.0,0
2019-10-05,36,39711,626,48.0,0
2019-10-06,21,60284,497,47.0,0
2019-10-08,36,44970,587,54.0,0
2019-10-09,18,63764,565,55.0,0
2019-10-10,39,22669,604,49.0,0
2019-10-11,37,29503,576,51.0,0
2019-10-13,62,15000,577,55.0,0
2019-10-14,53,38978,624,51.0,0
2019-10-15,36,19546,501,51.0,0
2019-10-16,26,43237,548,68.0,0
2019-10-17,70,114947,661,49.0,0
2019-10-19,40,43176,643,52.0,0
2019-10-20,39,27380,616,48.0,0
2019-10-21,42,21588,508,55.0,0
2019-10-22,38,49512,467,50.0,0
2019-10-24,33,35355,505,59.0,0
2019-10-25,39,44765,575,62.0,0
2019-10-26,33,51765,556,45.0,0
2019-10-27,31,33605,558,47.0,0
2019-10-28,41,91706,518,58.0,0
2019-10-31,18,73648,460,50.0,0
2019-11-01,53,42478,552,53.0,0
2019-11-02,54,25911,571,56.0,0
2019-11-03,18,27112,432,57.0,0
2019-11-04,35,54015,612,48.0,0
2019-11-05,35,32033,585,56.0,0
2019-11-06,23,52574,521,56.0,0
2019-11-07,30,47517,514,48.0,0
2019-11-08,26,15000,580,55.0,0
2019-11-09,61,113474,584,63.0,0
2019-11-10,51,49531,658,58.0,0
2019-11-12,48,30046,605,55.0,0
2019-11-13,26,28744,544,60.0,0
2019-11-14,33,20725,495,53.0,0
2019-11-15,45,25324,553,54.0,0
2019-11-16,25,21031,564,66.0,0
2019-11-17,48,74876,615,48.0,0
2019-11-18,37,25003,613,49.0,0
2019-11-19,35,67123,570,51.0,0
2019-11-20,48,62946,603,50.0,0
2019-11-21,45,73372,615,50.0,0
2019-11-22,35,19084,455,59.0,0
2019-11-24,27,28965,562,54.0,0
2019-11-25,47,15000,609,53.0,0
2019-11-27,36,35542,614,47.0,0
2019-11-29,24,41674,545,70.0,0
2019-11-30,51,48370,598,49.0,0
2019-12-01,37,51737,499,54.0,0
2019-12-02,33,28795,544,59.0,0
2019-12-04,31,43385,518,51.0,0
2019-12-05,23,51536,468,52.0,0
2019-12-06,21,24309,571,53.0,0
2019-12-07,47,49015,586,58.0,0
2019-12-08,24,19472,568,67.0,0
2019-12-09,61,55285,572,59.0,0
2019-12-10,18,35163,508,66.0,0
2019-12-11,60,88183,594,51.0,0
2019-12-13,38,46023,513,65.0,0
2019-12-15,44,55320,650,43.0,0
2019-12-16,39,53023,471,61.0,0
2019-12-17,53,44932,525,53.0,0
2019-12-18,41,37463,492,52.0,0
2019-12-19,41,30683,561,59.0,0
2019-12-20,35,31372,564,55.0,0
2019-12-21,39,85830,606,46.0,0
2019-12-22,43,51578,620,47.0,0
2019-12-23,19,86738,580,58.0,0
2019-12-24,23,15706,570,56.0,0
2019-12-26,42,171451,586,59.0,0
2019-12-27,37,46599,623,54.0,0
2019-12-28,40,52700,616,47.0,0
2019-12-29,44,59304,553,55.0,0
2019-12-30,33,26725,582,56.0,0
2019-12-31,30,48513,497,60.0,0
2020-01-02,28,15000,580,66.0,0
2020-01-03,44,55446,590,46.0,0
2020-01-04,19,15516,498,61.0,0
2020-01-08,51,45528,638,47.0,0
2020-01-09,59,55537,663,52.0,0
2020-01-10,52,15000,607,42.0,0
2020-01-11,18,50277,547,46.0,0
2020-01-12,24,19419,582,53.0,0
2020-01-13,32,16454,552,46.0,0
2020-01-14,40,50892,541,59.0,0
2020-01-15,46,30021,640,50.0,0
2020-01-16,31,22613,429,51.0,0
2020-01-17,42,58939,605,54.0,0
2020-01-18,30,81960,634,56.0,0
2020-01-21,28,73344,549,45.0,0
2020-01-22,23,50306,570,51.0,0
2020-01-23,28,35170,593,55.0,0
2020-01-24,52,37319,606,52.0,0
2020-01-25,28,56890,601,55.0,0
2020-01-26,71,27977,613,50.0,0
2020-01-27,45,51939,601,49.0,0
2020-01-28,42,37251,502,52.0,0
2020-01-29,29,25606,456,50.0,0
2020-01-30,48,29047,557,60.0,0
2020-01-31,33,77016,562,54.0,0
2020-02-01,41,27639,573,57.0,0
2020-02-02,70,49095,618,50.0,0
2020-02-03,38,30741,516,49.0,0
2020-02-05,31,116429,560,58.0,0
2020-02-06,39,79670,558,57.0,0
2020-02-07,61,54232,633,48.0,0
2020-02-08,32,54696,524,54.0,0
2020-02-09,61,42007,666,46.0,0
2020-02-10,48,59809,563,46.0,0
2020-02-11,33,15000,504,45.0,0
2020-02-12,47,45958,500,51.0,0
2020-02-14,47,71889,625,57.0,0
2020-02-15,21,45106,455,58.0,0
2020-02-16,31,68799,580,62.0,0
2020-02-17,37,42069,635,52.0,0
2020-02-18,39,64729,541,60.0,0
2020-02-19,47,51784,571,51.0,0
2020-02-21,23,72549,531,79.0,0
2020-02-22,44,24268,537,51.0,0
2020-02-24,46,29905,606,49.0,0
2020-02-26,50,33001,603,53.0,0
2020-02-27,45,48423,566,56.0,0
2020-02-29,20,64133,555,50.0,0
2020-03-01,45,63143,491,51.0,0
2020-03-02,42,72691,600,64.0,0
2020-03-03,43,48897,576,58.0,0
2020-03-04,24,45421,492,59.0,0
2020-03-05,27,19179,572,57.0,0
2020-03-07,39,43332,581,58.0,0
2020-03-08,48,37298,586,60.0,0
2020-03-10,40,15000,648,61.0,0
2020-03-11,51,43453,548,60.0,0
2020-03-12,33,15000,588,51.0,0
2020-03-13,41,71226,611,46.0,0
2020-03-14,34,33129,605,48.0,0
2020-03-15,34,15000,572,53.0,0
2020-03-17,42,20396,618,62.0,0
2020-03-19,55,29138,597,54.0,0
2020-03-20,29,27005,507,53.0,0
2020-03-21,37,15207,594,52.0,0
2020-03-24,42,38834,597,61.0,0
2020-03-25,52,56692,630,54.0,0
2020-03-26,22,15000,581,57.0,0
2020-03-28,50,40812,593,53.0,0
2020-03-30,52,33338,555,53.0,0
2020-03-31,33,34553,539,62.0,0
2020-04-01,56,23603,570,51.0,0
2020-04-02,67,18459,650,46.0,0
2020-04-03,35,74615,517,56.0,0
2020-04-05,57,30818,583,52.0,0
2020-04-06,58,68197,624,47.0,0
2020-04-07,33,89571,607,46.0,0
2020-04-08,34,45732,532,55.0,0
2020-04-10,23,33437,436,56.0,0
2020-04-11,28,26069,545,51.0,0
2020-04-12,27,74431,544,55.0,0
2020-04-14,39,32733,583,50.0,0
2020-04-15,42,80482,592,58.0,0
2020-04-16,58,64098,596,56.0,0
2020-04-17,28,34929,618,53.0,0
2020-04-18,51,88713,612,52.0,0
2020-04-23,44,47455,555,47.0,0
2020-04-26,43,127268,570,54.0,0
2020-04-27,69,58314,657,59.0,0
2020-04-28,32,37582,600,50.0,0
2020-04-29,33,28582,574,55.0,0
2020-04-30,32,23166,617,57.0,0
2020-05-03,54,23940,608,52.0,0
2020-05-04,57,23755,646,54.0,0
2020-05-05,33,40520,598,58.0,0
2020-05-06,30,27374,580,49.0,0
2020-05-10,42,15265,606,58.0,0
2020-05-11,21,24137,581,60.0,0
2020-05-14,32,32430,618,53.0,0
2020-05-15,35,54570,613,49.0,0
2020-05-16,43,32428,613,55.0,0
2020-05-18,47,52245,518,61.0,0
2020-05-20,37,23976,624,48.0,0
2020-05-21,30,23899,607,57.0,0
2020-05-22,23,15000,502,56.0,0
2020-05-23,31,55298,612,57.0,0
2020-05-24,39,57555,561,49.0,0
2020-05-27,42,124912,640,46.0,0
2020-05-29,54,28950,582,63.0,0
2020-05-31,33,38575,581,50.0,0
2020-06-01,34,31385,492,52.0,0
2020-06-03,48,26375,604,46.0,0
2020-06-04,62,21647,624,54.0,0
2020-06-05,47,30729,573,51.0,0
2020-06-06,35,45694,556,60.0,0
2020-06-07,47,16805,484,55.0,0
2020-06-08,53,52961,622,50.0,0
2020-06-09,49,29798,621,53.0,0
2020-06-10,46,21626,588,53.0,0
2020-06-11,52,78977,595,56.0,0
2020-06-12,54,38014,496,52.0,0
2020-06-14,47,57319,586,49.0,0
2020-06-15,37,39729,550,56.0,0
2020-06-16,41,81914,547,45.0,0
2020-06-17,54,66964,592,49.0,0
2020-06-18,30,51426,633,55.0,0
2020-06-19,44,51497,592,49.0,0
2020-06-20,35,69649,558,55.0,0
2020-06-21,40,22203,513,71.0,0
2020-06-23,42,49736,527,50.0,0
2020-06-24,40,52667,600,48.0,0
2020-06-25,23,15825,490,51.0,0
2020-06-26,48,56667,539,53.0,0
2020-06-27,47,52606,592,48.0,0
2020-06-28,65,27956,540,56.0,0
2020-06-29,36,23081,624,58.0,0
2020-06-30,42,32497,630,48.0,0
2020-07-01,42,38876,594,56.0,0
2020-07-03,38,55313,612,47.0,0
2020-07-06,42,70459,607,53.0,0
2020-07-07,34,44975,462,49.0,0
2020-07-08,42,61100,554,47.0,0
2020-07-09,52,57865,575,59.0,0
